algorithm,latency_ms,mean_lwsd,mean_error_mm
orbslam3,825,186.6720,565.673
orbslam3,850,197.9620,582.241
orbslam3,875,209.5123,598.607
orbslam3,900,221.4238,615.066
orbslam3,925,233.5893,631.322
orbslam3,950,246.1161,647.674
orbslam3,975,258.8904,663.821
orbslam3,1000,272.0259,680.065
rovio,0,0.1858,464.582
rovio,25,4.6452,464.520
rovio,50,9.3045,465.227
rovio,75,14.0014,466.714
rovio,100,18.7588,468.971
rovio,125,23.5975,471.951
rovio,150,28.5351,475.585
rovio,175,33.5883,479.833
rovio,200,38.7723,484.654
rovio,225,44.1025,490.027
rovio,250,49.5920,495.920
rovio,275,55.2541,502.310
rovio,300,61.0999,509.166
rovio,325,67.1401,516.462
rovio,350,73.3820,524.157
rovio,375,79.8345,532.230
rovio,400,86.5027,540.642
rovio,425,93.3945,549.379
rovio,450,100.5126,558.403
rovio,475,107.8649,567.710
rovio,500,115.4523,577.262
rovio,525,123.2824,587.059
rovio,550,131.3543,597.065
rovio,575,139.6758,607.286
rovio,600,148.2445,617.685
rovio,625,157.0676,628.270
rovio,650,166.1414,639.005
rovio,675,175.4737,649.903
rovio,700,185.0594,660.926
rovio,725,194.9056,672.088
rovio,750,205.0062,683.354
rovio,775,215.3692,694.739
rovio,800,225.9873,706.210
rovio,825,236.8686,717.784
rovio,850,248.0050,729.427
rovio,875,259.4052,741.158
rovio,900,271.0595,752.943
rovio,925,282.9761,764.800
rovio,950,295.1451,776.698
rovio,975,307.5754,788.655
rovio,1000,320.2562,800.641
svo2,0,0.0332,82.883
svo2,25,0.8274,82.737
svo2,50,1.7359,86.793
svo2,75,2.8203,94.011
svo2,100,4.1475,103.688
svo2,125,5.7538,115.076
svo2,150,7.6573,127.621
svo2,175,9.8684,140.978
svo2,200,12.3925,154.906
svo2,225,15.2352,169.280
svo2,250,18.3957,183.957
svo2,275,21.8774,198.886
svo2,300,25.6761,213.967
svo2,325,29.7955,229.196
svo2,350,34.2293,244.495
svo2,375,38.9820,259.880
svo2,400,44.0452,275.283
svo2,425,49.4247,290.733
svo2,450,55.1098,306.165
svo2,475,61.1074,321.618
svo2,500,67.4061,337.031
svo2,525,74.0144,352.449
svo2,550,80.9186,367.812
svo2,575,88.1289,383.169
svo2,600,95.6311,398.463
svo2,625,103.4357,413.743
svo2,650,111.5276,428.952
svo2,675,119.9183,444.142
svo2,700,128.5918,459.257
svo2,725,137.5606,474.347
svo2,750,146.8079,489.360
svo2,775,156.3471,504.345
svo2,800,166.1610,519.253
svo2,825,176.2627,534.129
svo2,850,186.6352,548.927
svo2,875,197.2921,563.692
svo2,900,208.2158,578.377
svo2,925,219.4208,593.029
svo2,950,230.8885,607.601
svo2,975,242.6340,622.138
svo2,1000,254.6388,636.597
vins_fusion,0,0.0630,157.480
vins_fusion,25,1.5711,157.111
vins_fusion,50,3.1794,158.968
vins_fusion,75,4.8909,163.031
vins_fusion,100,6.7616,169.040
vins_fusion,125,8.8291,176.582
vins_fusion,150,11.1246,185.410
vins_fusion,175,13.6718,195.311
vins_fusion,200,16.4855,206.069
vins_fusion,225,19.5763,217.514
vins_fusion,250,22.9507,229.507
vins_fusion,275,26.6146,241.951
vins_fusion,300,30.5721,254.767
vins_fusion,325,34.8267,267.898
vins_fusion,350,39.3806,281.290
vins_fusion,375,44.2348,294.898
vins_fusion,400,49.3897,308.686
vins_fusion,425,54.8449,322.617
vins_fusion,450,60.6002,336.668
vins_fusion,475,66.6542,350.811
vins_fusion,500,73.0067,365.033
vins_fusion,525,79.6552,379.311
vins_fusion,550,86.6001,393.637
vins_fusion,575,93.8381,407.992
vins_fusion,600,101.3701,422.375
vins_fusion,625,109.1918,436.767
vins_fusion,650,117.3049,451.173
vins_fusion,675,125.7041,465.571
vins_fusion,700,134.3921,479.972
vins_fusion,725,143.3624,494.353
vins_fusion,750,152.6188,508.729
vins_fusion,775,162.1538,523.077
vins_fusion,800,171.9723,537.413
vins_fusion,825,182.0655,551.714
vins_fusion,850,192.4398,565.999
vins_fusion,875,203.0850,580.243
vins_fusion,900,214.0083,594.468
vins_fusion,925,225.1984,608.644
vins_fusion,950,236.6642,622.800
vins_fusion,975,248.3929,636.905
vins_fusion,1000,260.3946,650.986
