regime,latency_ms,algorithm,sequence,mean_lwsd,max_lwsd,std_lwsd,mean_error_mm,max_error_mm,mean_latency_ms
classical_vio,12,svo2,MH05,72.830779,219.595422,40.641092,14978.770,27821.179,12.110
classical_vio,12,svo2,V101,18.271659,62.413837,8.870391,3771.869,8140.401,12.108
classical_vio,12,svo2,V202,8.878892,17.575283,2.202479,1833.599,2420.943,12.107
classical_vio,12,vins_fusion,MH01,41.974168,148.030276,25.625200,8621.116,19059.966,12.155
classical_vio,12,vins_fusion,MH02,47.783587,148.840826,30.491418,9861.435,21793.459,12.134
classical_vio,12,vins_fusion,MH03,42.444461,136.986407,24.742157,8728.773,18007.968,12.113
classical_vio,12,vins_fusion,MH05,26.491661,101.074909,15.263503,5484.203,13093.955,12.089
classical_vio,12,vins_fusion,V101,11.948150,22.819376,3.165152,2468.737,3018.047,12.105
classical_vio,12,vins_fusion,V202,20.115732,75.602790,10.535634,4139.027,8051.072,12.102
lightweight_nn,50,basalt,MH01,118.606827,225.347768,26.678417,5899.169,7057.971,50.255
lightweight_nn,50,basalt,MH02,105.482856,180.882532,21.097853,5240.391,5611.119,50.317
lightweight_nn,50,basalt,MH03,112.635367,199.591169,23.513544,5593.993,6547.142,50.347
lightweight_nn,50,basalt,MH05,301.920288,853.667636,161.128424,14939.992,28184.661,50.367
lightweight_nn,50,basalt,V101,75.602876,239.927997,34.631346,3752.554,8134.338,50.360
lightweight_nn,50,basalt,V202,36.614908,63.526805,7.226729,1817.816,1918.062,50.355
lightweight_nn,50,kimera,MH01,6.182214,18.465578,3.574246,309.199,775.265,49.928
lightweight_nn,50,kimera,MH02,6.084909,18.569638,3.029147,305.003,709.805,49.903
lightweight_nn,50,kimera,MH03,11.163733,27.315973,4.061029,557.119,949.816,49.900
lightweight_nn,50,kimera,MH05,4.681934,14.503262,3.165112,233.196,492.096,50.073
lightweight_nn,50,kimera,V101,3.972076,10.736028,1.740360,197.847,354.851,49.923
lightweight_nn,50,kimera,V202,3.070450,8.309859,1.752372,153.703,347.478,49.843
lightweight_nn,50,openvins,MH01,220.348112,672.233400,110.799845,11018.942,20768.855,50.018
lightweight_nn,50,openvins,MH02,257.486327,804.649165,130.415926,12869.114,23765.443,50.052
lightweight_nn,50,openvins,MH03,199.938511,605.181572,102.842586,9994.784,18812.808,50.022
lightweight_nn,50,openvins,MH05,91.928284,353.865549,53.037015,4592.309,10870.120,50.052
lightweight_nn,50,openvins,V101,53.827877,109.929552,11.371458,2690.310,3130.865,50.016
lightweight_nn,50,openvins,V202,83.916838,251.724837,38.990613,4193.534,7876.529,50.050
lightweight_nn,50,orbslam3,MH01,120.248634,341.410887,48.923583,5980.923,11433.284,50.234
lightweight_nn,50,orbslam3,MH02,124.965769,365.847544,63.463154,6201.428,12108.683,50.374
lightweight_nn,50,orbslam3,MH03,154.538014,431.305432,82.968341,7653.259,15932.130,50.352
lightweight_nn,50,orbslam3,MH05,263.753216,687.545766,131.996760,13030.101,21997.401,50.481
lightweight_nn,50,orbslam3,V101,82.775259,243.608987,36.546359,4104.816,8145.971,50.389
lightweight_nn,50,orbslam3,V202,72.678323,179.573245,24.238111,3610.526,5534.344,50.356
lightweight_nn,50,rovio,MH01,114.111790,220.929148,26.429159,5674.147,7038.822,50.255
lightweight_nn,50,rovio,MH02,122.699512,254.797901,31.845180,6095.563,8120.113,50.317
lightweight_nn,50,rovio,MH03,121.836915,217.003446,26.089314,6049.171,6972.882,50.347
lightweight_nn,50,rovio,MH05,331.177994,924.589511,176.219355,16388.552,30512.562,50.367
lightweight_nn,50,rovio,V101,77.234038,243.448964,35.105118,3833.856,8252.386,50.360
lightweight_nn,50,rovio,V202,43.356779,107.594343,15.559850,2154.795,3343.911,50.355
lightweight_nn,50,svo2,MH01,119.482271,230.871860,27.499710,5942.376,7212.664,50.255
lightweight_nn,50,svo2,MH02,110.641197,198.543852,23.251616,5495.942,6283.249,50.317
lightweight_nn,50,svo2,MH03,113.036381,205.919075,23.821395,5613.920,6499.072,50.347
lightweight_nn,50,svo2,MH05,302.682969,843.106841,161.283790,14978.675,27818.643,50.367
lightweight_nn,50,svo2,V101,75.988007,240.207600,34.912659,3771.640,8139.584,50.360
lightweight_nn,50,svo2,V202,36.933348,68.781562,7.409512,1833.825,2429.458,50.355
lightweight_nn,50,vins_fusion,MH01,174.398491,569.933387,102.534157,8621.080,19062.544,50.517
lightweight_nn,50,vins_fusion,MH02,198.727846,582.616456,122.415298,9861.575,21789.537,50.447
lightweight_nn,50,vins_fusion,MH03,176.427551,527.633654,98.669002,8730.118,18003.945,50.378
lightweight_nn,50,vins_fusion,MH05,110.254969,389.602075,60.906472,5484.587,13100.586,50.298
lightweight_nn,50,vins_fusion,V101,49.706479,86.104416,10.995993,2469.023,3021.811,50.350
lightweight_nn,50,vins_fusion,V202,83.580432,283.455583,41.591784,4137.742,8052.298,50.340
cloud_vlm,200,basalt,MH01,474.725058,957.082563,117.481150,5899.230,7076.475,201.149
cloud_vlm,200,basalt,MH02,422.293483,765.627516,94.875684,5240.722,5736.083,201.427
cloud_vlm,200,basalt,MH03,450.910053,821.382935,104.648484,5593.125,6787.208,201.563
cloud_vlm,200,basalt,MH05,1209.195435,3559.368005,659.533420,14939.251,28172.252,201.651
cloud_vlm,200,basalt,V101,302.560738,1002.308429,142.285985,3751.140,8121.525,201.620
cloud_vlm,200,basalt,V202,147.003504,288.157543,33.610578,1823.051,2209.304,201.599
cloud_vlm,200,kimera,MH01,25.535772,74.158480,14.906837,318.992,762.948,199.676
cloud_vlm,200,kimera,MH02,24.703148,84.053322,12.731750,308.529,706.457,199.562
cloud_vlm,200,kimera,MH03,48.319634,149.259812,24.162925,597.655,1268.692,199.549
cloud_vlm,200,kimera,MH05,25.129403,78.080721,14.917389,307.092,680.333,200.327
cloud_vlm,200,kimera,V101,17.419064,52.632401,8.965208,215.330,453.614,199.653
cloud_vlm,200,kimera,V202,17.422520,63.104298,9.782799,213.386,637.085,199.295
cloud_vlm,200,openvins,MH01,881.344192,2817.031945,454.127568,11018.556,20768.271,200.081
cloud_vlm,200,openvins,MH02,1029.994358,3391.352722,534.785847,12869.000,23764.364,200.236
cloud_vlm,200,openvins,MH03,799.994135,2531.564263,422.079441,9997.504,18806.934,200.098
cloud_vlm,200,openvins,MH05,368.061240,1492.488482,217.904840,4595.605,10916.591,200.232
cloud_vlm,200,openvins,V101,215.423073,487.874715,51.249073,2691.433,3151.524,200.070
cloud_vlm,200,openvins,V202,335.200343,1050.637783,160.321321,4187.932,7869.890,200.224
cloud_vlm,200,orbslam3,MH01,481.362783,1426.554792,202.478094,5981.502,11415.924,201.053
cloud_vlm,200,orbslam3,MH02,500.377310,1521.015664,259.669755,6202.082,12094.968,201.683
cloud_vlm,200,orbslam3,MH03,618.882358,1780.421054,338.833522,7653.207,15921.987,201.584
cloud_vlm,200,orbslam3,MH05,1056.415280,2894.701762,541.710802,13028.492,21981.990,202.166
cloud_vlm,200,orbslam3,V101,331.292799,1016.856969,150.627248,4103.264,8147.702,201.748
cloud_vlm,200,orbslam3,V202,290.904682,753.791245,101.590629,3610.754,5571.928,201.600
cloud_vlm,200,rovio,MH01,456.778501,939.650115,115.566541,5674.516,7133.848,201.149
cloud_vlm,200,rovio,MH02,491.164614,1046.071349,137.299618,6095.312,8046.768,201.427
cloud_vlm,200,rovio,MH03,487.806251,885.486799,116.375127,6048.840,7062.389,201.563
cloud_vlm,200,rovio,MH05,1326.343615,3849.194550,721.644276,16387.617,30490.387,201.651
cloud_vlm,200,rovio,V101,309.079700,1016.804692,144.295123,3832.373,8237.717,201.620
cloud_vlm,200,rovio,V202,173.956184,448.548784,66.011591,2159.933,3484.710,201.599
cloud_vlm,200,svo2,MH01,478.249818,980.416234,120.618791,5942.647,7260.419,201.149
cloud_vlm,200,svo2,MH02,442.946872,824.346021,103.573124,5496.205,6348.382,201.427
cloud_vlm,200,svo2,MH03,452.514838,838.871973,105.732196,5613.062,6754.276,201.563
cloud_vlm,200,svo2,MH05,1212.294210,3512.626246,660.151280,14978.478,27804.437,201.651
cloud_vlm,200,svo2,V101,304.102510,1003.587941,143.431469,3770.206,8127.001,201.620
cloud_vlm,200,svo2,V202,148.209181,282.141001,34.276644,1838.276,2436.243,201.599
cloud_vlm,200,vins_fusion,MH01,698.590151,2380.921578,418.322840,8621.019,19071.488,202.325
cloud_vlm,200,vins_fusion,MH02,795.715827,2409.867933,498.510603,9862.150,21774.673,202.012
cloud_vlm,200,vins_fusion,MH03,707.087905,2196.124294,404.622483,8735.019,17985.551,201.699
cloud_vlm,200,vins_fusion,MH05,441.636646,1628.885951,250.254607,5487.559,13133.684,201.342
cloud_vlm,200,vins_fusion,V101,199.117708,361.115797,48.920645,2470.845,3035.018,201.577
cloud_vlm,200,vins_fusion,V202,334.214796,1177.356362,170.580223,4131.870,8036.891,201.528
edge_vlm,500,basalt,MH01,1185.653214,2214.104958,248.458430,5900.812,7375.061,502.298
edge_vlm,500,basalt,MH02,1054.673673,1838.719770,196.040184,5243.043,6129.034,502.854
edge_vlm,500,basalt,MH03,1126.828061,2129.403718,230.169372,5597.502,7392.555,503.127
edge_vlm,500,basalt,MH05,3015.255191,8230.486095,1579.652826,14935.448,28153.496,503.302
edge_vlm,500,basalt,V101,754.141447,2330.129253,337.578814,3746.316,8093.254,503.239
edge_vlm,500,basalt,V202,372.285638,710.836127,84.215950,1849.040,2759.203,503.197
edge_vlm,500,kimera,MH01,74.649796,267.132127,46.902452,370.925,962.588,499.352
edge_vlm,500,kimera,MH02,73.682933,315.330865,41.027620,364.408,1014.448,499.125
edge_vlm,500,kimera,MH03,162.829611,552.778998,92.541255,797.566,2066.138,499.098
edge_vlm,500,kimera,MH05,110.329851,429.574785,67.212362,536.552,1683.428,500.655
edge_vlm,500,kimera,V101,59.192663,196.554934,31.945989,290.954,647.978,499.306
edge_vlm,500,kimera,V202,79.523816,297.999319,47.901619,388.670,1064.457,498.591
edge_vlm,500,openvins,MH01,2203.150500,6434.189786,1087.154459,11017.231,20754.429,500.162
edge_vlm,500,openvins,MH02,2574.529185,7740.569828,1279.899053,12867.865,23753.287,500.472
edge_vlm,500,openvins,MH03,1999.773146,5668.150750,1013.099082,9997.449,18798.852,500.196
edge_vlm,500,openvins,MH05,923.409279,3449.773842,535.660538,4611.578,11018.730,500.464
edge_vlm,500,openvins,V101,539.581976,1183.121375,111.329640,2696.484,3308.193,500.141
edge_vlm,500,openvins,V202,834.151975,2338.289380,380.458713,4170.182,7840.844,500.448
edge_vlm,500,orbslam3,MH01,1202.426210,3294.101486,475.150495,5983.593,11365.444,502.107
edge_vlm,500,orbslam3,MH02,1249.363674,3493.058942,621.286022,6204.958,12081.545,503.366
edge_vlm,500,orbslam3,MH03,1545.062886,4164.384912,809.403225,7658.787,15884.266,503.168
edge_vlm,500,orbslam3,MH05,2632.824887,6689.070240,1295.574403,13023.771,21975.027,504.332
edge_vlm,500,orbslam3,V101,825.798604,2363.293314,356.943147,4099.280,8156.375,503.497
edge_vlm,500,orbslam3,V202,726.425189,1637.372742,234.471062,3612.939,5613.748,503.200
edge_vlm,500,rovio,MH01,1140.930855,2165.480745,244.768413,5676.934,7317.662,502.298
edge_vlm,500,rovio,MH02,1226.387111,2402.810151,304.707933,6096.440,8163.146,502.854
edge_vlm,500,rovio,MH03,1219.078504,2265.844108,259.536715,6054.390,7976.697,503.127
edge_vlm,500,rovio,MH05,3307.386950,8861.640449,1729.579341,16383.313,30450.928,503.302
edge_vlm,500,rovio,V101,770.389309,2363.807555,342.279046,3827.363,8210.939,503.239
edge_vlm,500,rovio,V202,439.139668,1107.595692,164.756303,2183.430,3896.974,503.197
edge_vlm,500,svo2,MH01,1194.507474,2266.688689,256.593074,5944.579,7542.626,502.298
edge_vlm,500,svo2,MH02,1106.225749,1979.764413,216.836694,5498.696,6725.919,502.854
edge_vlm,500,svo2,MH03,1130.888144,2108.823827,232.633441,5617.710,7346.567,503.127
edge_vlm,500,svo2,MH05,3023.101982,8121.503147,1581.047603,14974.792,27786.154,503.302
edge_vlm,500,svo2,V101,757.996642,2332.402368,340.389462,3765.436,8099.383,503.239
edge_vlm,500,svo2,V202,374.893222,720.766118,85.490035,1862.324,2785.714,503.197
edge_vlm,500,vins_fusion,MH01,1742.005078,5522.440541,1010.503581,8620.666,19077.471,504.651
edge_vlm,500,vins_fusion,MH02,1986.018774,5691.688886,1207.610861,9862.326,21731.890,504.025
edge_vlm,500,vins_fusion,MH03,1764.652125,5075.160764,977.096452,8739.497,17947.825,503.398
edge_vlm,500,vins_fusion,MH05,1105.162079,3803.362368,610.749476,5497.520,13203.961,502.684
edge_vlm,500,vins_fusion,V101,498.538923,893.622730,109.110868,2478.107,3103.142,503.153
edge_vlm,500,vins_fusion,V202,829.804012,2608.081370,405.601692,4113.438,7961.725,503.056
large_fm,1000,basalt,MH01,2374.487785,4659.872001,553.751703,5906.545,8276.794,1005.107
large_fm,1000,basalt,MH02,2114.210557,4238.235371,462.536450,5251.446,6717.295,1006.342
large_fm,1000,basalt,MH03,2268.664251,5413.566416,610.590206,5625.124,9128.975,1006.948
large_fm,1000,basalt,MH05,6031.625833,16875.188202,3204.504990,14923.102,28096.607,1007.337
large_fm,1000,basalt,V101,1502.994610,4642.532887,681.933810,3731.638,8062.281,1007.198
large_fm,1000,basalt,V202,778.955726,2184.709642,252.431325,1928.175,3908.913,1007.105
large_fm,1000,kimera,MH01,215.784669,961.290765,147.288707,527.958,1712.120,998.559
large_fm,1000,kimera,MH02,220.169803,1030.065839,145.634281,534.126,1593.763,998.054
large_fm,1000,kimera,MH03,510.636821,2031.809217,346.308809,1235.786,3710.257,997.996
large_fm,1000,kimera,MH05,404.280872,1894.093856,284.258317,971.089,3624.234,1001.455
large_fm,1000,kimera,V101,186.511855,808.175971,110.570505,453.609,1250.445,998.458
large_fm,1000,kimera,V202,281.603994,1143.601919,192.791401,682.020,1954.218,996.869
large_fm,1000,openvins,MH01,4404.479794,13191.324574,2208.949048,11013.167,20713.857,1000.361
large_fm,1000,openvins,MH02,5147.373970,15978.333748,2602.881050,12863.233,23718.828,1001.050
large_fm,1000,openvins,MH03,3991.808329,12076.019516,2050.280106,9980.380,18777.523,1000.436
large_fm,1000,openvins,MH05,1873.464767,7340.212568,1132.046512,4671.830,11190.756,1001.032
large_fm,1000,openvins,V101,1086.191014,2725.900085,272.732589,2712.652,3849.900,1000.312
large_fm,1000,openvins,V202,1648.728363,4739.517322,767.518660,4124.323,7736.980,1000.996
large_fm,1000,orbslam3,MH01,2408.690724,7046.635820,973.397767,5989.579,11306.981,1004.682
large_fm,1000,orbslam3,MH02,2504.269809,7063.958366,1259.134573,6213.804,12063.383,1007.480
large_fm,1000,orbslam3,MH03,3103.900452,8409.410443,1628.261927,7683.537,15762.587,1007.039
large_fm,1000,orbslam3,MH05,5265.670870,13997.126573,2637.170366,13010.307,21930.137,1009.626
large_fm,1000,orbslam3,V101,1648.701157,4862.791905,726.398430,4090.032,8172.909,1007.771
large_fm,1000,orbslam3,V202,1455.741296,3295.422717,491.266284,3619.224,5783.015,1007.111
large_fm,1000,rovio,MH01,2285.950035,4448.443958,539.316758,5684.885,8152.205,1005.107
large_fm,1000,rovio,MH02,2456.396204,5289.276883,671.222377,6101.264,8693.293,1006.342
large_fm,1000,rovio,MH03,2453.676391,5800.167997,674.367380,6082.740,9780.907,1006.948
large_fm,1000,rovio,MH05,6616.488061,18166.629987,3514.385662,16370.782,30394.675,1007.337
large_fm,1000,rovio,V101,1535.167263,4718.113688,691.946375,3811.919,8181.303,1007.198
large_fm,1000,rovio,V202,908.797609,2688.958941,393.078396,2253.404,4494.133,1007.105
large_fm,1000,svo2,MH01,2392.419220,4670.224969,568.671253,5950.786,8449.166,1005.107
large_fm,1000,svo2,MH02,2217.436614,4498.288999,501.505531,5507.142,7235.321,1006.342
large_fm,1000,svo2,MH03,2277.156442,5455.694300,615.265269,5646.174,9200.016,1006.948
large_fm,1000,svo2,MH05,6047.441224,16651.548153,3207.742535,14962.593,27726.535,1007.337
large_fm,1000,svo2,V101,1510.639275,4646.405490,687.485847,3750.622,8069.099,1007.198
large_fm,1000,svo2,V202,782.908976,2213.199896,253.515796,1938.509,3944.531,1007.105
large_fm,1000,vins_fusion,MH01,3487.646914,11314.651766,2047.933300,8619.275,19058.129,1010.335
large_fm,1000,vins_fusion,MH02,3974.142423,11618.555044,2443.416773,9860.015,21677.766,1008.944
large_fm,1000,vins_fusion,MH03,3529.588999,10323.648417,1983.908837,8730.863,17829.798,1007.550
large_fm,1000,vins_fusion,MH05,2225.730003,7935.704776,1278.330833,5528.871,13322.537,1005.964
large_fm,1000,vins_fusion,V101,1007.073031,2044.909601,265.615032,2499.816,3423.061,1007.007
large_fm,1000,vins_fusion,V202,1641.109771,5287.905575,816.382536,4066.268,7783.945,1006.791
